title,context,question,answer_text,answer_start
Agregat,"   Agregat merupakan material granular, misalnya pasir, kerikil, batu pecah dan kerak tungku besi, yang dipakai secara bersama-sama dengan suatu media pengikat untuk membentuk suatu beton semen hidraulik atau adukan.[1]",Apa itu agregat?,"aterial granular, misalnya pasir, kerikil, batu pecah dan kerak tungku besi, yang dipakai secara bersama-sama dengan suatu media pengikat untuk membentuk suatu beton semen hidraulik atau adukan",22
Maria,"Maria (Aram-Yahudi מרים Maryām ""pahit""; Bahasa Yunani Septuaginta Μαριαμ, Mariam, Μαρια, Maria; bahasa Arab: Maryam, مريم) adalah ibu Yesus dan tunangan yang kemudian menjadi istri Yusuf[1] dalam Kekristenan.",siapakah Ibu dari Yesus Kristus?,Maria,0
Muhammad Adnan,"Sepulangnya dari Makkah masyarakat muslim di Surakarta Sangat berharap agar Muhammad Adnan dapat mengamalkan dan meneruskan ilmu yang sudah dipelajarinya itu kepada masyarakat. Sedatangnya dari tanah suci Makkah, menjadi seorang putera mantu Haji Shafawi, Tegalsari, Muhammad Adnan sangat giat usaha amalnya untuk menggerakkan pelajaran Islam hingga berhasil baik. Kampung Tegalsari itu sekarang menjadi pusat pergerakan Islam, dan disitu didirikan masjid yang besar dan modern. Sebenarnya Muhammad Adnan berkeinginan ingin mendirikan pesantren sendiri, akan tetapi karena ada tugas lain yang tak kalah pentingnya dengan mengelola pesantren. Meskipun demikian, ia tetap ingin menyebarluaskan ilmu agama Islam. Bidang yang dianggap tepat untuk menampung cita-citanya itu ialah bidang keguruan dan pendidikan. Muhammad Adnan sebenarnya kurang suka menjadi abdi dalem (pegawai kraton), priyayi atau pegawai negri. Berpangkal wasiat ayahandanya, telah mengantarkan Muhammad Adnan pada suratan takdir bahwa sampai akhir hayatnya ia harus membaktikan dirinya kepada Allah, bangsa dan negara melalui pegawai negri. Banyak orang yang berdatangan di rumahnya. Orang-orang dari berbagai kalangan untuk beguru dan mempelajari agama Islam. Ada di antara mereka dari kalangan anak muda, orang tua dan wanita. Orang yang berlatar belakang awam, orang-orang sederhana dan ada yang tergolong intelek. Di antaragolongan orang yang intelek terdapat guru-guru sekolah umum, misalnya Soemadi dan Koesban, keduanya adalah guru HIS. Mereka mengaji di luar jam kerja, yakni dari ashar sampai maghrib. Melihat kegiatan pengajian yang padat itu, ayahandanya memerintahkan anak-anaknya untuk medirikan sekolah. Itu dipenuhi dengan mendirikan sekolah Bawaleksana (khusus putri), Madrasah Tarbiyatul Aitam (Pendidikan anak-anak yatim) dan madrasah Syari’ah (pendidikan Agama Islam, khusus laki-laki). Ketiga jenis sekolah itu semuanya memberikan pendidikan agama Islam. Sedangkan sekolah Bawaleksana yang hanya khusus putri itu memberikan pendidikan umum dan agama. Sebagai pendidik Muhammad Adnan pernah diangkat menjadi guru pada sekolah Madrasah Islamiyah di Pasar Kliwon (1916-1923), yang kemudian menjadi Holland Arabische School. Ia juga menjadi Mahaguru pada ”Kenkoku Gakuin” (Persiapan Sekolah Tinggi Hukum) zaman pendudukan Jepang. Pada tahun 1948 Kementrian Agama RI, Muhammad Adnan diserahi membentuk SGHI (Sekolah Guru Hakim Islam) di Surakarta, yang kemudian pindah ke Yogyakarta dan berganti nama SGHA (Sekolah Guru Hakim Agama), kemudian menjadi PHIN (Pendidikan Hakim Islam Negeri) dan ia sebagai ketuanya. Muhammad Adnan pernah memimpin Madrasah Manba’ul Ulum Surakarta, setelah ia kembali belajar dari Makkah. Madrasah Manba’ul Ulum pertama kali dipimpin dipimpin oleh oleh Kiai Arfah, setelah Muhammad Adnan diangkat menjadi Penghulu maka pada tahun 1919 madrasah itu dipimpin oleh K.H. Jumhur, dan pada tahun 1946 Manbaul Ulum dipimpin oleh K.H. Jalil Zamakhsari. Pada tahun 1951 Muhmmad Adnan mempelopori berdirinya ”Al Djami’atul Islamiyah” Perguruan Tinggi Islam Indonesia (PTII) di Surakarta bersama KH. Imam Ghozali dan KH. As’at. Selanjutnya PTII Solo ini digabung dengan UII Yoyakarta dan dikenal kemudian dengan nama UII cabang Solo. Pada tahun ini pula ia diangkat sebagai Dewan Kurator/Pengawas serta diangkat sebagai Guru Besar tidak tetap pada Fakultas Hukum PTII. Tahun 1950 ketika Perguruan Tinggi Agama Islam Negeri (PTAIN) diresmikan diberi kepercayaan menjadi ketuanya sampai perguruan tinggi itu menjadi IAIN (1960), selain itu ia juga diangkat menjadi guru besar dalam bidang fiqh ia juga menjadi dosen luar biasa di Univesitas Gajah Mada (UGM) Yogyakarta. Dalam pendidikan keluarga, Muhammad Adnan memberikan pendidikan agama kepada anak-anaknya ada yang dilakukan dengan secara langsung dan ada pula yang dilaksanakan secara tidak langsung. Mulai usia 4 tahun, semua putranya diberikan pelajaran menghafal al-Fatihah ayat demi ayat, di teruskan dengan surat-surat dari juz ‘Amma yang pendek-pendek. Tuntunan menghafalkan firman Allah Swt. yang berupa surat-surat yang pendek itu diberikan langsung oleh Muhammad Adnan. Sesudah itu, ibu anak-anak melatih lagi hafalan-hafalan surat-surat pendek seperti surat al-Ikhlash, al-falaq dan yang lain-lain. Makin meningkat umur anak itu mangkin meningkat hafalannya. Ketika di Jakarta, Muhammad Adnan memerintahkan kepada istrinya agar anak-anak ditingkatkan pendidikan agamanya, bukan hanya agar dapat membaca al-Qur’an saja melainkan perlu juga diberi pelajaran pokok-pokok ajaran Islam tentang Rukun Iman, Rukun Islam, tuntunan Ibadah dan Akhlak. Untuk melaksanakan maksud ini, anak-anak yang sudah agak besar (8-11 tahun) setiap sore sehabis salat Ashar diberikan pendidikan dan pelajaran agama yang meliputi bidang tauhid, fiqh, dan Akhlaqul Karimah. Buku rujukan (reference) yang digunakan Ibu adalah Aqidatul Awam untuk tauhid, Safinatun Najat untuk fiqh dan Hidayatul Islam karangan Muhammad Adnan sendiri untuk akhlaq. Kitab Hidayatul Islam adalah kitab karya Muhammad Adnan sendiri dengan memakai berbahasa Jawa berhuruf Arab Pegon, yang banyak juga disertai sumber-sumber Al-Qur’an dan Al-Hadis. Dalam kebijaksanaan pendidikannya, meskipun Muhammad Adnan tergolong ulama, ia tidak pernah mengharuskan putra-putranya memilih bidang studi tertentu. Ia tidak pernah memberi tekanan kepada anak-anaknya. Kalau ia mempunyai pendapat tentang arah studi yang perlu ditempuh anak-anak, secara persuasif ia hanya menganjurkan dan bukan mewajibkan. Muhammad Adnan juga tidak pernah memerintah anak-anaknya yang berlebihan, dikarenakan menjaga supaya anak-anaknya terhindar dari dosa. Sebab perkara yang mubah bisa menjadi wajib jikala perintah itu dari orang tua ditujukan kepada anak-anaknya. Jangan sampai membebani anak yang akhirnya mengakibatkan dosa bagi si anak jika tidak dikerjakan perintah tesebut.",Kapan Prof. K.H.R. Muhammad Adnan mendirikan PTAIN,1950,3375
Jerman," Jerman terletak di Eropa bagian tengah dan berbatasan langsung dengan sembilan negara. Di sebelah barat berbatasan dengan Belanda, Belgia, Luksemburg, dan Perancis. Di sebelah selatan berbatasan dengan Swiss dan Austria. Di sebelah timur berbatasan dengan Ceko dan Polandia, dan di sebelah utara berbatasan dengan Denmark. Apabila tetangga di seberang laut (Laut Baltik) juga dihitung, maka Jerman juga bertetangga dengan Swedia. Negara ini mempunyai luas total 357,021km2 (137,847sqmi), terdiri dari luas daratan 349,223km2 (134,836sqmi) dan luas lautan 7,798km2 (3,011sqmi). Jerman merupakan negara terluas ketujuh di Eropa dan ke-62 di dunia.[8]",berapakah luas Jerman ?,"357,021km",463
Injil Matius,"“Meskipun Eusebius menyebutkan bahwa Matius pertama kali menulis dalam bahasa Ibrani, ia juga menganggap Injil Matius bahasa Yunani juga sampai ke tangan sang rasul (Yohanes). Ia mencatat bahwa Yohanes tahu mengenai Injil Matius, Markus dan Lukas, serta mengakui keakuratan mereka ketika ia menyusun Injilnya sendiri. Eusebius merujuk kepada bagian-bagian Injil Matius bahasa Yunani dan menyebut sang rasul (Matius) sebagai pengarangnya.""[3]",Siapakah yang membukukan alkitab pertama kali ?,Matius,37
Radang paru-paru,"Radang paru-paru atau pneumonia adalah kondisi inflamasi pada paru—utamanya memengaruhi kantung-kantung udara mikroskopik yang dikenal sebagai alveolus.[1][2] Kondisi ini biasanya disebabkan oleh infeksi virus atau bakteri dan lebih jarang mikroorganisme lainnya, obat-obatan tertentu, dan kondisi lain seperti penyakit autoimun.[1][3]",Apa yang dimaksud dengan pneumonia?,kondisi inflamasi pada paru—utamanya memengaruhi kantung-kantung udara mikroskopik yang dikenal sebagai alveolus,39
Lubang hitam,"Teori adanya lubang hitam pertama kali diajukan pada abad ke-18 oleh John Michell and Pierre-Simon Laplace, selanjutnya dikembangkan oleh astronom Jerman bernama Karl Schwarzschild, pada tahun 1916, dengan berdasar pada teori relativitas umum dari Albert Einstein, dan semakin dipopulerkan oleh Stephen William Hawking.",Pada abad ke berapa lubang hitam ditemukan?,18,61
Wushu,"Di dalam wushu, kita juga mempelajari seni, olahraga, kesehatan, beladiri dan mental. Mempelajari Wushu tidak hanya terbatas pada hal-hal yang berhubungan dengan gerakan fisik dan kekerasan saja, tetapi juga melibatkan pikiran. Mempelajari Wushu berarti kita juga belajar mengolah pernafasan, memahami anatomi tubuh kita, dan juga mempelajari ramuan atau obat-obatan untuk memperkuat tubuh maupun untuk pengobatan. Semua aliran kung fu atau Seni bela diri yang berasal dari China tradisional, baik keras atau lembut dapat disebut Wushu. Wushu keras termasuk tinju selatan Nanquan dan tinju panjang Changquan. Wushu lembut termasuk tinju Taiji, Telapak Baguazhang, dan tinju xingyiquan. Adapun seni beladiri Wushu yang telah dikembangkan oleh etnis China yang menetap di wilayah Asia Tenggara (terutama Indonesia) seringkali disebut dengan istilah Kuntao.",dari manakah asal Wushu?,China tradisional,474
Reog (Ponorogo)," Ada lima versi cerita populer yang berkembang di masyarakat tentang asal usul Reog dan Warok [1], namun salah satu cerita yang paling terkenal adalah cerita tentang pemberontakan Ki Ageng Kutu, seorang abdi kerajaan pada masa Bhre Kertabhumi, Raja Majapahit terakhir yang berkuasa pada abad ke-15. Ki Ageng Kutu murka akan pengaruh kuat dari pihak istri raja Majapahit yang berasal dari Tiongkok, selain itu juga murka kepada rajanya dalam pemerintahan yang korup, ia pun melihat bahwa kekuasaan Kerajaan Majapahit akan berakhir. Ia lalu meninggalkan sang raja dan mendirikan perguruan di mana ia mengajar seni bela diri kepada anak-anak muda, ilmu kekebalan diri, dan ilmu kesempurnaan dengan harapan bahwa anak-anak muda ini akan menjadi bibit dari kebangkitan kerajaan Majapahit kembali. Sadar bahwa pasukannya terlalu kecil untuk melawan pasukan kerajaan maka pesan politis Ki Ageng Kutu disampaikan melalui pertunjukan seni Reog, yang merupakan ""sindiran"" kepada Raja Kertabhumi dan kerajaannya. Pagelaran Reog menjadi cara Ki Ageng Kutu membangun perlawanan masyarakat lokal menggunakan kepopuleran Reog.",Siapa yang menciptakan Reog?,Ki Ageng Kutu,879
Basilika Santo Nikolas,"Basilika ini dibangun pada tahun 1087 sampai 1197, pada masa dominasi Italo-Norman di Puglia, suatu kawasan yang dulu pernah menjadi bagian dari Katapan Bizantium, di mana Bari sebagai ibu kotanya. Pendiriannya berhubungan dengan pencurian relikwi Santo Nikolas dari situs aslinya di Myra, kini bagian dari Turki. Ketika Myra dikuasai oleh Saracen, beberapa pihak melihat ini sebagai peluang untuk memindahkan relikwi sang santo ke lokasi yang lebih aman. Menurut legenda yang terjustifikasi, sang santo, meninggalkan kota ini pada perjalanannya menuju Roma, dan dia memilih Bari sebagai tempat peristirahatan terakhirnya. Ada persaingan yang besar relikwi-relikwi antara Venesia dan Bari. Bari-lah pemenangnya, relikwi diangkut di bawah perlindungan wali Yunani dan guru-guru Muslim, dan pada 9 Mei 1087, dan mendarat dengan selamat di Bari. Sebuah gereja baru dibangun untuk menaungi jenazah Nikolas dan Paus Urbanus II menghadiri konsekrasi (penyucian) ruang bawah tanah gereja ini pada tahun 1089. Gedung ini secara resmi dikonsekrasi (disucikan) pada tahun 1197, dan dihadiri oleh Vikaris Imperium, Uskup Konrad dari Hildesheim, dan berbagai uskup, wali gereja, dan orang-orang terhormat. Elias, abbas biara terdekat yakni Santo Benediktus, dinamai sebagai Uskup Agung pertama. Katedra (takhta keuskupan) dia masih berdiri di dalam gereja ini hingga kini.",Dimanakah letak Italo-Norman?,Puglia,86
Oscar de Négrier,"François Oscar de Négrier (2 Oktober 1839 – 22 Agustus 1913) merupakan salah satu jenderal Perancis yang paling karismatik dari Republik Ketiga, ia terkenal di Aljazair dalam kampanye Sud-Oranais (1881) dan di Tonkin selama Perang Tiongkok-Perancis (Agustus 1884 – April 1887).",Kapan François Oscar de Négrier meninggal ?,22 Agustus 1913,44
Belgia,"Belgia (secara resmi disebut Kerajaan Belgia) adalah sebuah negara yang terletak di bagian barat benua Eropa. Negara ini merupakan negara anggota pendiri Uni Eropa dan menjadi ibukota Uni Eropa, serta organisasi internasional lainnya termasuk NATO.[1] Belgia meliputi wilayah seluas 30.528km² dan memiliki populasi penduduk sekitar 10,5 juta jiwa.",berapakah luas Belgia?,30.528km²,283
Demografi Belgia,"Negara ini dihuni oleh mayoritas orang Flemish yang mayoritasnya berjumlah sekitar 6.400.000 orang berbahasa Belanda, minoritas berbahasa Prancis yang berjumlah 4.100.000 orang (Walloons dan penutur bahasa Prancis di Brussels), serta 73.000 komunitas berbicara bahasa Jerman dari Belgia, umumnya ada di Wallonia, dekat perbatasan Jerman. Namun, David Levinson melaporkan bahwa ""kelompok Flemish dan Walloon digambarkan oleh para ahli sebagai ""Komunitas, wilayah dan wilayah bahasa di Belgia, daripada sebagai kelompok etnis"".[5]",Apa bahasa mayoritas yang digunakan penduduk Belgia ?,Belanda,109
South African Airways,"South African Airways (SAA) merupakan perusahaan maskapai penerbangan internasional dan domestik terbesar di Afrika Selatan, dengan hub di Cape Town dan Johannesburg. Juga dikenal dalam Bahasa Afrikaans sebagai Suid-Afrikaanse Lugdiens (SAL), meskipun versi nama ini tidak lagi muncul pada badan pesawat.",Dimana kantor pusat South African Airways?,Cape Town dan Johannesburg,139
Dinasti Qing," Dinasti Qing (Hanzi: 清朝, hanyu pinyin: Qīng Chao) (1644 - 1911), dikenal juga sebagai Dinasti Manchu dan adalah satu dari dua dinasti asing yang memerintah di Tiongkok setelah dinasti Yuan Mongol dan juga adalah dinasti yang terakhir di Tiongkok. Asing dalam arti adalah sebuah dinasti pemerintahan non-Han yang dianggap sebagai entitas Tiongkok pada zaman dulu. Dinasti ini didirikan oleh orang Manchuria dari klan Aisin Gioro (Hanyu Pinyin: Aixinjueluo), kemudian mengadopsi tata cara pemerintahan dinasti sebelumnya serta meleburkan diri ke dalam entitas Tiongkok itu sendiri.",Kapan Dinasti Qing didirikan?,1644,52
Richard III dari Inggris,"Richard III () adalah Raja Inggris yang berkuasa selama dua tahun, dari tahun 1483 sampai kematiannya pada tahun 1485 saat Pertempuran Bosworth. Dia adalah raja terakhir dari Wangsa York dan terakhir dari Wangsa Plantagenet. Kekalahannya pada Pertempuran Bosworth merupakan perang kepastian dari Perang Mawar dan kadang dianggap sebagai akhir dari abad pertengahan di Inggris.",Siapakah Richard III?,"Raja Inggris yang berkuasa selama dua tahun, dari tahun 1483 sampai kematiannya pada tahun 1485 saat Pertempuran Bosworth",22
Sulawesi Utara,"Rumah tradisonal suku Sulawesi Utara dinamakan Wale. Rumah adat ini bertipe rumah panggung dengan 3 bagian utama dan 1 bagian tambahan. Tiga bagian utama dari rumah Sulawesi Utara yaitu serambi depan, serambi tengah dan serambi belakang. Sedangkan 1 bagian tambahannya yaitu rumah dapur.",Apa rumah adat Sulawesi Utara?,Wale,47
Ilmu ekonomi,Ilmu ekonomi adalah ilmu yang mempelajari perilaku manusia dalam memilih dan menciptakan kemakmuran. Inti masalah ekonomi adalah adanya ketidakseimbangan antara kebutuhan manusia yang tidak terbatas dengan alat pemuas kebutuhan yang jumlahnya terbatas. Permasalahan tersebut kemudian menyebabkan timbulnya kelangkaan (Ingg: scarcity).,Apa itu ilmu Ekonomi?,mempelajari perilaku manusia dalam memilih dan menciptakan kemakmuran,30
